numero_alimento;descricao_alimento;umidade_percent;energia_kcal;proteina_g;carboidrato_g;categoria
262;Manteiga, sem sal;13.6273;757.5405;0.3956;0.0000;Gorduras e óleos
513;Fermento em pó, químico;7.0767;89.7221;0.4753;43.9113;Miscelâneas
503;Glicose de milho;20.4133;292.1184;0.0000;79.3800;Produtos açucarados
40;Macarrão, trigo, cru;10.2433;371.1226;9.9957;77.9443;Cereais e derivados
593;Gergelim, semente;3.8593;583.5467;21.1647;21.6177;Nozes e sementes
422;Lingüiça, porco, frita;54.6093;279.5436;20.4521;0.0000;Carnes e derivados
66;Abóbora, menina brasileira, crua;95.6900;13.6057;0.6087;3.3013;Verduras, hortaliças e derivados
582;Soja, extrato solúvel, natural, fluido;91.2840;39.1049;2.3811;4.2753;Leguminosas e derivados
449;Iogurte, natural, desnatado;89.2163;41.4927;3.8344;5.7740;Leite e derivados
516;Sal, dietético;0.5967;0;0;0;Miscelâneas
569;Feijão, rajado, cozido;77.8643;84.7019;5.5375;15.2675;Leguminosas e derivados
272;Óleo, de soja;0;884.0000;0;0;Gorduras e óleos
314;Porquinho, cru;79.1667;93.0246;20.4900;0.0000;Pescados e frutos do mar
271;Óleo, de pequi;0;884.0000;0;0;Gorduras e óleos
595;Pinhão, cozido;50.5133;174.3699;2.9804;43.9176;Nozes e sementes
511;Café, pó, torrado;2.9300;418.6187;14.7000;65.7533;Miscelâneas
452;Iogurte, sabor pêssego;85.0567;67.8494;2.5300;9.4333;Leite e derivados
575;Grão-de-bico, cru;12.2900;354.7029;21.2292;57.8842;Leguminosas e derivados
453;Leite, condensado;26.9600;312.5726;7.6700;56.9967;Leite e derivados
269;Óleo, de girassol;0;884.0000;0;0;Gorduras e óleos
122;Farinha, de mandioca, torrada;8.3400;365.2690;1.2292;89.1942;Verduras, hortaliças e derivados
464;Queijo, parmesão;21.2467;452.9638;35.5536;1.6607;Leite e derivados
295;Dourada de água doce, fresca;76.1600;131.2083;18.8104;0.0000;Pescados e frutos do mar
587;Amêndoa, torrada, salgada;3.1060;580.7470;18.5548;29.5472;Nozes e sementes
493;Açúcar, mascavo;3.3240;368.5548;0.7583;94.4500;Produtos açucarados
565;Feijão, jalo, cozido;75.8423;92.7399;6.1437;16.4953;Leguminosas e derivados
592;Farinha, de mesocarpo de babaçu, crua;15.8233;328.7714;1.4063;79.1731;Nozes e sementes
501;Doce, de leite, cremoso;27.5000;306.3101;5.4783;59.4934;Produtos açucarados
506;Marmelada;28.4987;257.2415;0.4000;70.7633;Produtos açucarados
299;Manjuba, com farinha de trigo, frita;41.3050;343.5505;23.4500;10.2403;Pescados e frutos do mar
454;Leite, de cabra;87.0707;66.4157;3.0709;5.2461;Leite e derivados
15;Bolo, pronto, aipim;34.1337;323.8517;4.4167;47.8640;Cereais e derivados
55;Pastel, de carne, cru;34.3983;288.7021;10.7407;42.0166;Cereais e derivados
305;Pescada, branca, frita;57.0033;223.0397;27.3562;0.0000;Pescados e frutos do mar
281;Cação, posta, com farinha de trigo, frita;60.6233;208.3327;24.9521;3.1006;Pescados e frutos do mar
492;Açúcar, cristal;0.0500;386.8457;0.3200;99.6100;Produtos açucarados
31;Farinha, de arroz, enriquecida;12.6933;363.0565;1.2693;85.5040;Cereais e derivados
62;Polenta, pré-cozida;72.7400;102.7412;2.2917;23.3117;Cereais e derivados
393;Frango, caipira, inteiro, sem pele, cozido;61.4153;195.7603;29.5750;0.0000;Carnes e derivados
583;Soja, extrato solúvel, pó;4.4683;458.8957;35.6875;28.4828;Leguminosas e derivados
6;Arroz, tipo 2, cru;13.1647;358.1168;7.2419;78.8815;Cereais e derivados
260;Azeite, de oliva, extra virgem;0;884.0000;0;0;Gorduras e óleos
491;Achocolatado, pó;1.1033;401.0200;4.2033;91.1767;Produtos açucarados
340;Carne, bovina, contra-filé, à milanesa;42.1647;351.5927;20.6125;12.1745;Carnes e derivados
285;Camarão, Rio Grande, grande, cru;89.1337;47.1834;9.9917;0.0000;Pescados e frutos do mar
584;Soja, queijo (tofu);86.6460;64.4851;6.5532;2.1268;Leguminosas e derivados
518;Shoyu;70.6267;60.9277;3.3125;11.6475;Miscelâneas
316;Salmão, sem pele, fresco, cru;68.9840;169.7816;19.2521;0.0000;Pescados e frutos do mar
594;Linhaça, semente;6.6830;495.0961;14.0839;43.3122;Nozes e sementes
468;Queijo, requeijão, cremoso;62.4663;256.5781;9.6295;2.4325;Leite e derivados
99;Biscoito, polvilho doce;5.4373;437.5490;1.2917;80.5353;Verduras, hortaliças e derivados
515;Gelatina, sabores variados, pó;1.2433;380.2229;8.8867;89.2233;Miscelâneas
563;Feijão, fradinho, cozido;80.0093;78.0089;5.0938;13.4996;Leguminosas e derivados
388;Croquete, de carne, frito;39.2350;346.7420;16.8625;18.1462;Carnes e derivados
507;Mel, de abelha;15.8233;309.2427;0.0000;84.0333;Produtos açucarados
356;Carne, bovina, fígado, grelhado;54.9700;225.0264;29.8600;4.2000;Carnes e derivados
508;Melado;22.0867;296.5065;0.0000;76.6167;Produtos açucarados
597;Noz, crua;6.2447;620.0600;13.9708;18.3639;Nozes e sementes
